component,RMSE,MAE,MAPE,MaxAPE,R2,MRE,MaxRE
H2,7.840737695947944,6.7737972943565445,766.1735416415685,207064.66955262813,-0.014120247296889765,7.661735416415684,2070.6466955262813
CH4,9.888433637089001,7.905575618207694,11.11811868704575,84.28667337782213,0.0007352584649122917,0.11118118687045749,0.8428667337782213
CO2,3.6468723946897796,3.1330231242424182,978.0312432538474,229916.14657518666,-0.0073406879280597526,9.780312432538473,2299.1614657518667
N2,5.799811337318766,5.02494618524124,1016.0266667051462,818595.9150234706,-0.0013291649038924547,10.160266667051463,8185.959150234707
