model,component,RMSE_pp,MAE_pp,MRE_pct,R2,MaxRE_pct
acoustic,H2,12.056430410979058,11.195364722689026,1466.2178522715994,,2556.2300255461723
acoustic,CH4,11.705445164708495,8.94101010061925,11.305892266757958,-16.256894161236215,26.79910554832256
acoustic,CO2,4.006690139661796,3.5656406364364073,526.7469051199467,-0.6815328555487072,3340.1790061907577
acoustic,N2,3.1363694964848157,2.805161848112653,19.328067748726106,-43.939786350841885,30.512281548507392
optical,H2,112.77563953548712,105.44754961013794,13810.097620432294,,19490.918786508682
optical,CH4,93.86101623650816,81.90120483398437,103.24249532743298,-1108.5765506375114,192.23589294652547
optical,CO2,2.9002963426982302,2.7357321691513063,311.240526772002,0.11891340711191911,1764.5993152967317
optical,N2,72.50412989011548,66.72560621142387,461.5077104269953,-24015.076080195042,706.1781132611496
thermal,H2,2.223837395229981,2.208410661517134,289.2278382410405,,358.39010052311426
thermal,CH4,2.8727168939425023,2.4516652746718903,3.066296286921456,-0.03937537372277644,6.644358011852793
thermal,CO2,3.9758348450386496,3.9365534345063358,376.2480782398936,-0.6557337988415313,1683.103809828935
thermal,N2,0.4856729484070862,0.44692400145831107,3.1012505636657184,-0.07761688894706609,4.821390211937363
fixed_average,H2,40.332570507581636,36.34503837646145,4759.982852641218,,6909.247221877758
fixed_average,CH4,31.606401386741567,26.04707447721926,32.75303127159621,-124.81628808321157,73.65669177740062
fixed_average,CO2,2.463144131945808,2.0091452909162286,316.71765245983784,0.3645030157309741,1683.7111152943194
fixed_average,N2,23.8149464928514,22.065972592045664,152.51174587152337,-2590.049922978368,229.50069094825548
dynamic_average,H2,2.824717337420993,2.7646860044039525,362.0812788141901,,542.3838782145097
dynamic_average,CH4,2.87837494155443,2.4499992377561823,3.063613485221406,-0.04347367296929283,6.691665730161402
dynamic_average,CO2,3.97583230621168,3.936556375132004,376.26066571280944,-0.6557316842565726,1683.099891999961
dynamic_average,N2,0.4862250663519394,0.44802434990556517,3.1060549431907725,-0.0800683732593428,4.902758502237267
dynamic_ridge,H2,7.13650596337336,7.0740170725542555,926.4593316940061,,1109.6890110459951
dynamic_ridge,CH4,3.0493122609327017,2.919928969862937,3.691480887962175,-0.1710907911765236,5.747987237980904
dynamic_ridge,CO2,5.440571151792189,5.128070092329584,214.72975686161934,-2.1004364335954793,788.5644056598468
dynamic_ridge,N2,0.8945186131408795,0.7612316653467266,5.138302326097762,-2.655571849172403,8.30858331327615
