model,component,RMSE_pp,MAE_pp,MRE_pct,R2,MaxRE_pct
acoustic,H2,5.722358950073394,5.312998490286607,615.5542604356305,-1.6351388572449768,1109.7367422269967
acoustic,CH4,5.33208558512046,3.977011359444679,4.898533584796747,-1.3135774656770942,20.09891223651055
acoustic,CO2,4.080308370102526,3.862399293729569,324.83601956686607,-0.8090776449667383,1505.4427248300797
acoustic,N2,4.544935126134613,3.6812732803037433,54.58132994678255,-0.20537408309618366,213.03040929258418
optical,H2,17.00495391407094,15.272771176695823,1642.321447505116,-22.270420462385328,3668.1231344128287
optical,CH4,369.4195220229677,329.7793606185913,415.65768411953445,-11104.279832100598,699.7748503567917
optical,CO2,93.58661442706288,79.41250719845293,10781.382958803797,-950.6970163890868,62010.20024699394
optical,N2,215.58856195597005,195.74108337014914,2146.7062529848354,-2711.176218899579,8833.07005212138
thermal,H2,2.7095386386739455,2.6329626641779194,257.01806112419143,0.4091952083334076,366.059926093445
thermal,CH4,4.409847101869552,4.028259660367661,4.945095964173936,-0.5824751031953377,7.2211595325177305
thermal,CO2,3.2122521535488064,2.9025109750534237,434.7273101142896,-0.12121911318242429,2042.856713217126
thermal,N2,3.0980255728120616,2.533095156128514,38.23540863543467,0.4399375330618086,180.3093472263308
fixed_average,H2,7.7186815963428845,6.8317265825821405,719.3998636218514,-3.794458505326898,1676.746607755161
fixed_average,CH4,123.24882547173375,110.0822537775468,138.69812018475545,-1235.1051072711589,234.89110051873072
fixed_average,CO2,33.03926777383232,27.915095718488544,3836.146530081837,-117.61293767369379,21814.23898724246
fixed_average,N2,72.11620667051194,65.23457682646026,708.6332197130249,-302.48149979102817,3075.4699362134315
dynamic_average,H2,3.070894815397001,2.941495846884641,296.92885595766705,0.24110237395780587,762.9924544675371
dynamic_average,CH4,4.881580550311184,4.106188368355966,5.018963820981312,-0.9391470424418773,14.43325428787129
dynamic_average,CO2,3.2125270413379647,2.902749003421434,434.7237672080028,-0.1214110175634815,2042.843453264944
dynamic_average,N2,3.083788931162318,2.49513528949372,38.048527471507676,0.4450731189293379,186.2520137713817
dynamic_pls,H2,3.90894832352343,2.064884588451414,237.50701388960232,-0.22962637500927308,1945.0949128549507
dynamic_pls,CH4,498.1797968155315,135.4131754963661,173.54239567759174,-20194.845733296934,2867.139056185737
dynamic_pls,CO2,2.893534644137477,2.5902126341283918,484.46623890480475,0.09023629302695824,2376.6444745197573
dynamic_pls,N2,61.75866676357744,38.38316142241392,404.58445582807707,-221.56778116889535,2301.4357775787976
