component,RMSE,MAE,MAPE,MaxAPE,R2,MRE,MaxRE
H2,7.795812170390306,6.590190847210743,669.9905761946504,181500.3742005474,-0.0025322148173776426,6.699905761946504,1815.0037420054741
CH4,9.894234149321164,7.931015926192563,11.08113394479414,83.1489196931588,-0.0004374140929461756,0.11081133944794139,0.8314891969315881
CO2,3.6812135789218936,3.184087281983715,1029.9265711082182,241856.949229672,-0.026401485294577975,10.299265711082182,2418.56949229672
N2,5.801044980199559,5.027858332538519,970.5330539083213,781980.9534377536,-0.0017551835788167658,9.705330539083214,7819.809534377536
